"A1_vali_lat","A1_vali_long","A1_vali_floor"
4864990.48472998,-7633.0770877003,2
4864990.02682979,-7632.81638079021,2
4864989.85228003,-7632.8284095902,2
4864993.68023167,-7632.54932054978,2
4864994.0299985,-7632.86880090322,2
4864997.56347223,-7628.16473552849,3
4864998.50947322,-7629.88501343633,2
4864997.56426365,-7630.05993129798,2
4864997.42190932,-7629.98309356467,2
4864997.68725857,-7630.0962419362,2
4864998.09463282,-7629.936296676,2
4864998.52651591,-7630.00285409709,2
4864998.33355744,-7630.54155378933,2
4864998.863223,-7629.17223011355,2
4864998.41215825,-7631.32419474058,2
4864994.10871771,-7634.160880383,2
4864991.78613834,-7634.79150874024,2
4864991.63833948,-7634.77746720729,2
4864992.68709203,-7634.93220721147,2
4864992.54466003,-7635.01074121147,2
4864993.1018958,-7635.39994490551,2
4864994.01152376,-7633.96895436591,2
4864993.78960911,-7634.43575757087,2
4864992.89194298,-7633.61715689266,2
4864993.12487762,-7633.06351869788,2
4864993.25054754,-7633.04063909787,2
4864993.1803137,-7633.04176669787,2
4864993.1803137,-7633.10442609781,2
4864994.90460073,-7631.23664358148,2
4864995.42760853,-7631.85825042486,2
4864994.84929192,-7630.36101530965,2
4864995.02553045,-7631.82395292271,2
4864987.41444863,-7626.81027959981,2
4864995.4614253,-7631.56920581968,2
4864988.12539019,-7628.09008370271,2
4864988.08275571,-7627.58246125203,2
4864988.65573018,-7627.69945740928,2
4864987.76236109,-7628.74981360467,2
4864987.27142173,-7627.2598412341,2
4864987.0366747,-7627.62935478405,2
4864987.22221316,-7627.32836547748,2
4864987.06585902,-7627.08918691373,2
4864987.37818039,-7627.21863952385,2
4864987.6369617,-7627.17151680271,2
4864988.99497035,-7629.59509199074,2
4864999.46513594,-7635.52988459606,2
4864998.75336162,-7636.81041354857,2
4864996.56778198,-7636.84826226531,2
4864993.97741192,-7635.20060222702,2
4864993.86900938,-7632.21851421553,2
4864993.64477394,-7632.75897409766,2
4864993.8690972,-7632.66248483096,2
4864994.1588029,-7632.66248483096,2
4864999.8923362,-7633.26045174487,2
4864999.91354278,-7632.80664480412,2
4864999.99394581,-7632.79304844904,2
4864999.8736967,-7633.31469198344,2
4864999.8736967,-7633.30539248342,2
4865000.29987911,-7632.7080201376,2
4865000.28628141,-7632.69872063758,2
4865000.43599609,-7632.64400913759,2
4865000.43599609,-7632.5409285376,2
4865000.5921526,-7632.59006253752,2
4864999.85674154,-7631.37068447748,2
4865001.69938025,-7631.72267806454,2
4865002.54998422,-7637.69949078596,2
4865002.61283901,-7635.01829032412,2
4865002.41592758,-7636.54059973839,2
4865002.08181882,-7636.47100386764,2
4865003.1081826,-7639.23390115098,2
4865003.1432731,-7639.2227067088,2
4865003.02766335,-7639.0958529677,2
4865003.04690562,-7639.12919825107,2
4865003.01376286,-7639.18059565102,2
4865006.18650261,-7639.33920574653,2
4865006.26702186,-7639.33332936369,2
4865006.12306789,-7639.25645602835,2
4865005.83939176,-7639.05478224777,2
4865005.30507795,-7639.05180496669,3
4865003.08244499,-7639.4924292223,3
4865003.97161268,-7637.99718666993,2
4865003.74240918,-7636.9866677626,2
4865003.69021672,-7637.38540432053,2
4865003.79552118,-7637.34184484124,2
4865003.61101313,-7637.37138016492,2
4865003.98965477,-7636.0574888616,2
4865003.9423789,-7636.2571745377,2
4865003.86043457,-7636.57765932096,2
4865004.00177397,-7636.44270347782,2
4865003.07584559,-7639.94925700644,2
4865004.07729957,-7636.21297014847,2
4865003.90998537,-7636.23340230225,3
4865002.43266948,-7635.49020444475,3
4865002.54118335,-7635.22359070754,3
4865002.50677235,-7635.50859736842,3
4865002.56185735,-7635.75249326817,3
4864998.37336777,-7638.72657185626,2
4864989.87117227,-7638.33614145475,2
4864991.99887548,-7638.92922403953,2
4864996.12521576,-7637.98440857896,2
4864995.56831109,-7636.6245039931,3
4864995.72505606,-7637.66359519031,2
4864995.68452791,-7637.58965972361,2
4864995.81790108,-7638.37856978534,2
4864993.65619113,-7638.51199592154,2
4864995.56507506,-7638.55265710577,2
4864997.65176336,-7638.00108027832,2
4864997.4502861,-7637.747844945,2
4864997.1458811,-7637.69503709146,2
4864998.57654611,-7638.40837957985,2
4864997.80596065,-7638.09474105883,2
4864997.62715237,-7638.51096311532,2
4864998.13356573,-7638.48330471685,2
4864997.34319078,-7638.54140793075,2
4864995.72477516,-7634.50172672021,2
4864996.07857368,-7634.57313447463,2
4864996.7897705,-7634.84572457485,2
4864996.61804697,-7634.88764276641,2
4864997.06354565,-7634.5379931818,2
4864995.84515724,-7634.83196191864,2
4864995.23884001,-7634.5203262457,2
4864992.83677701,-7636.13070626158,2
4864995.44895195,-7634.38536070266,2
4864992.84036304,-7636.18826014011,2
4864992.72099418,-7635.57843927726,2
4864993.60926608,-7635.01951806385,2
4864993.47163587,-7635.82381963833,2
4864993.50174526,-7635.15139541422,2
4864993.27252542,-7635.03439964504,2
4864993.43948471,-7634.82945246312,2
4864993.30429528,-7634.86076457006,2
4864993.30429528,-7634.53675843798,2
4864993.45655032,-7634.50621255831,2
4864993.29823952,-7634.80305856283,2
4864993.77788723,-7635.13735552012,2
4864998.71201027,-7636.81182739198,2
4864998.72438924,-7636.72678127734,2
4865001.11349835,-7637.06656134954,2
4865003.19008091,-7637.87761782469,3
4865003.18483924,-7637.67508716006,3
4865003.40951835,-7638.10043249977,2
4865003.73923803,-7639.05491593645,3
4865003.81040883,-7638.99221776768,3
4865003.81040883,-7638.99528976766,3
4865004.18290283,-7636.60095483005,2
4865004.12209196,-7635.72301172089,2
4865004.10679606,-7636.07923483364,2
4865004.10679606,-7636.06991547092,2
4865004.41400046,-7636.02769653015,2
4865004.48388217,-7636.01769472077,2
4865003.31757182,-7636.00390385516,2
4865003.82201318,-7635.45567183778,2
4865003.88844197,-7635.93732507745,2
4865003.87687901,-7634.763715486,2
4865003.35606002,-7634.17958166543,2
4865003.63109259,-7634.25729756591,2
4865003.63109259,-7634.21972003456,2
4865003.5693936,-7634.21046804393,2
4865003.31516869,-7633.28718350541,2
4865003.31516869,-7633.26279573465,2
4865003.70785127,-7633.88011696873,2
4865002.88824663,-7633.94767036394,2
4865002.34623317,-7634.26276544471,2
4865002.27635147,-7634.20274504615,2
4865002.3526404,-7634.17132750754,2
4865002.38587434,-7634.35294096916,2
4865002.88210782,-7634.06743683018,2
4865000.26399789,-7637.13456377926,2
4864999.85020175,-7637.10513216473,2
4864998.81362498,-7635.40300143868,2
4864994.04227122,-7635.26125959744,2
4864995.49254047,-7634.71243118535,2
4864995.38484077,-7634.41202343877,2
4864995.23863496,-7634.18359375244,2
4864994.92293572,-7633.91732066484,2
4864996.28655244,-7631.31282568505,2
4864996.54686328,-7632.66848827756,2
4864994.65320252,-7633.50410443282,2
4864994.45356552,-7632.85808630353,2
4864993.57673109,-7631.47345446425,2
4864995.24333666,-7632.08815827975,2
4864995.00608291,-7632.057375813,2
4864995.0325292,-7631.47593796082,2
4865001.06745808,-7631.81394574154,2
4865002.26623657,-7631.80613759436,2
4865002.38452161,-7631.37335570681,2
4864995.04954411,-7632.56333752655,2
4864994.80659878,-7631.62780017308,2
4864994.79358141,-7631.94256147712,2
4864993.54066787,-7632.43822305198,2
4864993.60915187,-7632.29614921241,2
4864993.34332498,-7632.29614921241,2
4864993.27018001,-7632.18169321242,2
4864993.54041909,-7632.56009742908,2
4864993.85753171,-7630.91807670097,2
4864998.85957676,-7630.82259581766,2
4864998.86943119,-7631.40263031341,2
4864998.86943119,-7631.06114597819,2
4864996.15911258,-7630.97554717817,2
4864996.19767888,-7630.77511541764,2
4864996.4287224,-7630.86967759827,2
4864996.1758763,-7630.96104826492,2
4864996.3474874,-7630.8710008821,2
4864995.70568575,-7630.81868406339,2
4864997.26054339,-7630.72557572651,2
4864993.98808323,-7628.57992213998,3
4864995.83855892,-7629.89627067933,3
4864993.80995365,-7628.16008739827,3
4864987.70479725,-7627.55338923393,3
4864988.03501885,-7627.42932687787,3
4864987.8980277,-7627.02516830113,3
4864988.0926359,-7626.84315196123,3
4864987.91399556,-7626.93510125131,3
4864988.09053651,-7627.34285987792,3
4864987.93529384,-7628.17280910605,3
4864981.85792643,-7628.84522335767,2
4864980.89677744,-7628.32847444755,2
4864981.85453098,-7628.23070694498,2
4864984.02672239,-7625.74225754369,2
4864983.36310915,-7624.88906361103,2
4864993.65875896,-7627.36860014988,2
4864993.19696032,-7627.14158413136,2
4864992.57035182,-7628.95876806265,2
4864992.39840787,-7629.10696509939,2
4864992.95864664,-7629.89022651421,2
4864994.8663373,-7629.64489907431,2
4864995.10057835,-7629.52714878509,2
4864995.19990837,-7631.94071482527,2
4864995.53162131,-7631.30826751443,2
4864995.01808141,-7632.23931431299,2
4864993.59402526,-7631.5524794747,2
4864993.78594505,-7632.08790185406,2
4864994.71595383,-7629.48751355454,2
4864993.4194755,-7631.55087710544,2
4864992.19836206,-7626.85295727593,2
4864991.89391,-7626.39508407768,2
4864990.50319488,-7628.60637838486,2
4864991.61366482,-7629.26451505601,2
4864991.70164189,-7628.76265508249,2
4864994.27326203,-7631.03455005371,2
4864992.224642,-7628.06138302003,2
4864992.19961315,-7627.08092037591,2
4864991.70644798,-7629.16490299023,2
4864991.05752509,-7626.91582238333,2
4864992.30424068,-7629.55257552231,2
4864994.0728279,-7627.41260499897,2
4864998.82048865,-7627.67764360501,3
4864997.05167087,-7625.30473234219,3
4864997.54069011,-7626.32607626987,3
4864997.95441424,-7626.35549651961,3
4864995.46629406,-7629.02024515511,3
4864995.28975311,-7629.11945666695,3
4864993.55767179,-7627.53872873528,3
4864993.73230422,-7628.76361626117,3
4864994.15249942,-7629.44588480279,3
4864993.45509576,-7628.20028919848,3
4864994.52149177,-7629.1669384026,3
4864993.5448152,-7629.61294868624,3
4864993.57289917,-7630.21966229891,3
4864993.40088173,-7632.74441622246,2
4864993.93168282,-7632.64307099584,2
4864994.31776716,-7632.66468977344,2
4864993.66591673,-7632.42986436842,2
4864993.86338399,-7632.23539768784,2
4864987.00455157,-7626.89748184523,2
4864976.68218656,-7623.53652160444,2
4864982.70608269,-7628.32277653789,2
4864976.8636043,-7623.58656129875,2
4864982.66653289,-7628.26512433791,2
4864982.38261421,-7627.73358973792,2
4864983.61856902,-7628.07775909755,2
4864983.5976495,-7628.56004349115,2
4864982.54678716,-7626.79441398244,2
4864983.44383616,-7628.45149922264,2
4864982.88399068,-7630.24867444503,2
4864977.30323579,-7633.09989084256,2
4864977.52696807,-7634.90608655613,2
4864975.25237565,-7633.12629525164,2
4864970.62742375,-7632.01552017615,2
4864965.24530268,-7634.47875737169,2
4864965.43146422,-7634.88350708069,2
4864968.26759145,-7633.81258976807,2
4864975.27500899,-7633.52278009682,2
4864965.45206915,-7634.62493512993,2
4864970.59574536,-7635.17743790814,2
4864970.2403888,-7635.41446190363,2
4864969.75287737,-7636.07956949934,2
4864970.27898646,-7634.94901500733,2
4864969.75270737,-7636.33678180619,2
4864969.60318145,-7636.47245162724,2
4864968.28209189,-7636.4859635387,2
4864968.06601795,-7636.57348063184,2
4864968.06601795,-7636.39534048149,2
4864965.03938531,-7633.42666020123,2
4864968.17348753,-7636.21339044833,2
4864979.60966703,-7636.06614321458,2
4864969.35095608,-7638.68038180224,2
4864968.09176599,-7638.52918757539,2
4864968.15983343,-7638.70737013664,2
4864968.3168594,-7638.93363641564,2
4864968.08324229,-7638.68876688662,2
4864967.18485404,-7637.22150972545,2
4864967.47448067,-7643.03778360435,2
4864967.29326598,-7642.97841247276,2
4864969.30190034,-7640.71651176245,2
4864967.40508288,-7643.41879725909,2
4864970.73305216,-7639.81815665151,2
4864970.50660986,-7639.84326381817,2
4864970.59016674,-7639.74041451088,1
4864970.2958906,-7640.01239977755,2
4864970.7625983,-7640.08874277756,1
4864978.4018799,-7635.32665575476,2
4864970.75182416,-7639.5985687609,1
4864970.48753144,-7639.75437317755,1
4864968.21099466,-7636.58657321121,2
4864971.96363603,-7636.75914695158,1
4864967.03868099,-7636.76204379458,2
4864967.03851099,-7636.76204379458,2
4864967.03868099,-7636.3237140446,1
4864967.30687939,-7637.34097536126,1
4864965.89714735,-7641.24729616009,1
4864965.66919577,-7641.02676064282,1
4864964.5934931,-7640.11441252625,1
4864964.58335589,-7640.90670159292,1
4864963.83679288,-7643.46934802627,2
4864964.7273205,-7639.7854592491,1
4864964.62078125,-7643.50045823762,2
4864957.65642983,-7642.39331505157,2
4864954.44666914,-7644.03803373872,2
4864954.359416,-7644.12782636968,2
4864954.09950765,-7644.4602485259,2
4864954.49036935,-7644.30553581248,2
4864955.21463036,-7644.34697581247,2
4864954.93385045,-7644.26331381249,2
4864954.81927074,-7644.08469382138,2
4864959.4221455,-7644.8909368459,2
4864959.80982029,-7644.57169015819,2
4864959.79520429,-7644.21640244675,2
4864959.72486735,-7644.11590244218,2
4864959.71434185,-7644.26269951016,2
4864959.72486735,-7644.26269951016,2
4864959.77637577,-7644.27238890616,2
4864959.77637577,-7644.3459252395,2
4864959.81365124,-7643.96517828272,2
4864960.42403907,-7642.89594891853,2
4864960.34970907,-7642.38343021527,2
4864960.34970907,-7642.44257275891,2
4864960.81855422,-7642.58719724909,2
4864961.32724093,-7638.27089501089,2
4864961.63781217,-7637.74868479112,2
4864961.54399577,-7638.32734167976,2
4864961.51060952,-7638.35029167975,2
4864961.54399577,-7637.89313774391,2
4864961.36522599,-7638.35029167975,2
4864961.55309977,-7637.95042774392,2
4864946.06197719,-7613.56901189092,4
4864945.71121048,-7645.33374622007,2
4864945.52062522,-7646.81277054221,2
4864951.01286156,-7646.92865001525,2
4864956.73765709,-7645.32702023863,2
4864956.73284359,-7645.41559323863,2
4864956.69330959,-7645.47765368863,2
4864956.68226759,-7645.50236218863,2
4864956.69330959,-7645.25038875094,2
4864941.4391814,-7614.77671292926,4
4864941.88204206,-7618.31366064562,4
4864941.87722856,-7618.46097050431,4
4864941.92107712,-7618.43633410368,4
4864943.0586632,-7618.57820063437,4
4864942.64514698,-7618.49171085172,4
4864944.5024636,-7619.98724955496,4
4864944.46246503,-7619.97857873875,4
4864916.5128844,-7565.97376131135,4
4864941.88364997,-7618.70359166205,4
4864944.55358439,-7620.09995352139,4
4864944.48785432,-7619.97857873875,4
4864944.48785432,-7619.97857873875,4
4864944.48785432,-7619.9683301394,4
4864944.48785432,-7619.97857873875,4
4864948.10314087,-7620.58724154713,4
4864948.07775157,-7620.58724154713,4
4864948.13993624,-7620.58915226756,4
4864949.37427136,-7627.49156989507,4
4864949.30143285,-7627.02871543391,4
4864949.30944045,-7627.80441832797,4
4864948.28215507,-7625.7245220428,4
4864948.18113866,-7625.8207507262,4
4864948.05793696,-7625.89467495288,4
4864949.53982217,-7637.72992836391,2
4864946.75780595,-7640.8587877927,2
4864946.80165451,-7641.55026279262,2
4864952.84342441,-7638.13019349381,2
4864963.78603366,-7637.07505422425,2
4864961.87244632,-7637.83039844187,2
4864961.89741573,-7637.74630644192,2
4864961.54675335,-7638.1037390207,2
4864961.49186285,-7638.4560731967,2
4864961.48258885,-7638.4560731967,2
4864961.48258885,-7638.46524119668,2
4864961.49186285,-7638.67597009609,2
4864961.49186285,-7638.67588542942,2
4864961.49186285,-7638.67618209607,2
4864961.47616744,-7638.71508742944,2
4864961.48258885,-7638.82863185489,2
4864961.48258885,-7638.87700185488,2
4864944.55597657,-7636.48500999086,2
4864944.58946055,-7636.66749771515,2
4864944.47823855,-7636.66640671516,2
4864944.59928558,-7636.57829669844,2
4864944.34265416,-7636.66749771515,2
4864945.23393581,-7636.80232129086,2
4864945.36364385,-7636.60362878927,2
4864945.36465985,-7636.60362878927,2
4864944.6036339,-7636.54714053976,2
4864942.44978761,-7623.46366861818,4
4864947.37502168,-7638.77648527361,2
4864942.39532664,-7623.39585422398,4
4864942.58938858,-7623.60878282431,4
4864942.6507084,-7623.55086275335,4
4864942.53914158,-7623.63163354816,4
4864943.43533609,-7623.70089000944,4
4864943.91633295,-7630.61649900698,2
4864943.68853347,-7630.6706534952,2
4864943.95049869,-7630.66517445625,2
4864943.97812055,-7630.80796566567,2
4864940.09481253,-7610.18539083131,4
4864940.24098541,-7610.02766206944,4
4864940.05096397,-7610.1423030151,4
4864940.24098541,-7610.02766206944,4
4864941.74815084,-7615.75878954867,4
4864942.35923639,-7615.67701783192,4
4864944.49393545,-7627.60451157365,4
4864944.96812752,-7627.49033862798,4
4864944.92427895,-7627.4872431831,4
4864945.57454391,-7627.41632219386,4
4864944.95916452,-7627.49709298868,4
4864946.25227602,-7635.8180093014,4
4864944.11040313,-7636.45851041938,4
4864944.07363685,-7636.45851041938,4
4864944.07363685,-7636.45851041938,4
4864943.97703535,-7636.54870821938,4
4864943.97703535,-7636.56200115831,4
4864943.97703535,-7636.60912041938,4
4864943.97703535,-7636.56200115831,4
4864945.23203805,-7638.45288851218,4
4864945.23203805,-7638.57365706872,4
4864945.01240005,-7638.97501310618,4
4864945.54339569,-7638.72161703751,4
4864945.54613869,-7638.71376344562,4
4864945.53926669,-7638.71376344562,4
4864945.72680639,-7638.72161703751,4
4864945.45672447,-7638.67496577643,4
4864944.966598,-7638.80759328856,4
4864945.72267739,-7638.75731926182,4
4864944.76120152,-7647.55629987041,2
4864960.46347088,-7638.55217235355,2
4864960.46347088,-7638.55217235355,2
4864958.16691511,-7640.94544238964,2
4864958.16691511,-7640.94544238964,2
4864971.3225855,-7635.8917325482,2
4864969.249866,-7635.22721002191,2
4864969.38087402,-7638.08367846325,2
4864969.70342262,-7638.08367846325,2
4864969.70342262,-7638.08367846325,2
4864969.56408341,-7638.59944901146,2
4864969.11705851,-7638.00774495748,2
4864969.62551192,-7638.37301855053,2
4864969.60471572,-7638.3867074441,2
4864967.67952991,-7638.73511077339,2
4864962.2969147,-7640.41990831468,2
4864954.66830808,-7645.82082932879,2
4864954.64321748,-7645.89332216213,2
4864954.05605002,-7645.91415636128,2
4864954.11581485,-7645.96250902795,2
4864954.09962002,-7645.98461902794,2
4864945.23387373,-7646.3246357999,2
4864944.99164603,-7647.32196387923,2
4864945.04908473,-7647.17124130546,2
4864945.14270646,-7647.48712771439,2
4864944.7896876,-7647.48356426951,2
4864944.74625403,-7647.48259826952,2
4864944.91007959,-7647.58330913009,2
4864945.21211645,-7647.09580751519,2
4864945.11991948,-7646.97335776286,2
4864945.02620306,-7640.44359102578,4
4864944.97266242,-7646.32675256531,2
4864941.47642224,-7617.55358703163,4
4864940.02178011,-7610.32271871227,4
4864941.77984008,-7615.30457904526,4
4864945.00012153,-7627.26305461556,4
4864944.70031295,-7627.07362047877,4
4864944.38557672,-7627.3794734065,4
4864944.43133507,-7627.3794734065,4
4864944.73114365,-7627.56890754329,4
4864959.08093902,-7634.7791840482,2
4864958.91254235,-7634.79889304819,2
4864961.66464807,-7634.66471791578,2
4864963.52139365,-7635.54946742117,2
4864957.21932598,-7641.28176508012,2
4864957.45986596,-7642.58417472563,2
4864957.29812087,-7642.58348852564,2
4864961.83145844,-7639.29396921927,2
4864961.62098134,-7640.43923197806,2
4864961.70276034,-7640.43923197806,2
4864961.88607501,-7640.33238742806,2
4864961.84130127,-7637.87405825168,2
4864961.84130127,-7637.87405825168,2
4864961.82275327,-7637.87405825168,2
4864961.78936702,-7637.87405825168,2
4864961.86723496,-7636.78401525166,2
4864961.84868696,-7636.78401525166,2
4864961.84130127,-7637.87405825168,2
4864961.79995496,-7637.87405825168,2
4864961.84130127,-7637.87405825168,2
4864961.82292327,-7637.87405825168,2
4864944.3616488,-7628.97244976501,4
4864944.31879045,-7628.98269836437,4
4864946.05327317,-7639.4362180614,4
4864946.59548197,-7642.62657804851,2
4864946.59548197,-7642.47253332123,2
4864946.59548197,-7642.47690652121,2
4864946.70005203,-7642.49100467972,2
4864945.75882121,-7631.38161613401,2
4864945.75882121,-7631.38161613401,2
4864945.75882121,-7631.38161613401,2
4864945.77596622,-7631.246584384,2
4864946.2750799,-7630.88181907999,2
4864943.92214394,-7617.81654029878,2
4864945.75882121,-7631.38161613401,2
4864945.77596622,-7631.246584384,2
4864943.92214394,-7617.71632947005,2
4864943.92214394,-7617.81654029878,2
4864944.11406628,-7617.56445137302,2
4864940.41411305,-7591.36189408284,4
4864940.22496304,-7591.45881937067,4
4864940.41411305,-7591.36189408284,4
4864940.93447175,-7591.13832255311,4
4864947.71127509,-7613.75762989367,4
4864957.21809443,-7633.5765769784,4
4864957.33005053,-7633.44095293357,4
4864958.54270268,-7636.54782616379,4
4864958.25864329,-7636.66134020863,4
4864958.25864329,-7636.66134020863,4
4864958.25864329,-7636.66134020863,4
4864958.31767129,-7636.66134020863,4
4864960.94531048,-7636.65567089667,2
4864960.73532438,-7636.91206349804,2
4864960.73532438,-7636.7912949415,2
4864960.67620189,-7636.90546788717,2
4864961.03349344,-7636.7912949415,2
4864961.04531794,-7636.7912949415,2
4864961.03349344,-7636.7912949415,2
4864960.79435238,-7636.7912949415,2
4864947.51277096,-7641.8071280411,3
4864947.74920296,-7641.58943419674,3
4864947.74920296,-7641.58943419674,3
4864947.88725596,-7641.8071280411,3
4864948.12368796,-7641.58943419674,3
4864947.88725596,-7641.68635948456,3
4864947.51077445,-7641.70296948455,3
4864947.73101423,-7643.28081487176,4
4864947.74920296,-7641.58943419674,3
4864937.38761731,-7652.84594324092,2
4864942.24632236,-7651.0983119995,2
4864934.47332894,-7652.61574031879,2
4864934.93991576,-7652.73557353466,2
4864935.9442741,-7651.73453218345,2
4864935.28782512,-7652.68701705261,2
4864935.3997017,-7652.74145289876,2
4864934.33648081,-7654.42773896143,2
4864933.17463636,-7651.17192097151,2
4864931.87078561,-7650.33801253811,2
4864930.23916169,-7648.62758584456,2
4864932.13771486,-7649.02218950533,2
4864932.1781554,-7649.80360435035,2
4864932.40659497,-7650.45329938617,2
4864933.3055325,-7651.92032554955,2
4864933.36843022,-7652.3012606013,2
4864933.52581102,-7652.13180212748,2
4864933.01212768,-7650.71763010004,2
4864933.00306161,-7650.83383729355,2
4864933.0033769,-7650.377888421,2
4864932.19733737,-7650.97708874707,2
4864939.58049251,-7657.12810354711,2
4864939.5655905,-7657.54829618513,2
4864939.65550858,-7654.18582037308,2
4864940.34451972,-7654.18711823187,2
4864939.72071752,-7654.21350582932,2
4864940.5029718,-7654.33147308585,2
4864940.4005688,-7653.46441755391,2
4864940.17739274,-7652.90498212849,2
4864940.19020877,-7652.90942809515,2
4864940.44402649,-7653.67443132487,2
4864942.82266969,-7650.15313866336,2
4864942.86745748,-7650.15313866336,2
4864942.58117941,-7648.88772395388,2
