"A2_vali_lat","A2_vali_lon","A2_vali_floor"
4864993.97368293,-7632.86781413533,2
4864993.57599114,-7633.32376734559,2
4864993.74216648,-7633.74618687638,2
4864994.1087211,-7633.7599202872,2
4864994.1235065,-7634.22085058082,2
4864993.66683729,-7634.17581447219,2
4864991.92191362,-7633.58938784427,2
4864992.17449672,-7633.57269524625,2
4864991.90612351,-7633.97692559958,2
4864991.09813895,-7633.61152184789,2
4864991.47362977,-7634.01184928802,2
4864990.84352226,-7633.86918834477,2
4864991.50358293,-7634.01664403458,2
4864987.9482755,-7632.11897295194,2
4864990.92767171,-7634.61617873094,2
4864990.81247881,-7634.9534728025,2
4864990.60712114,-7634.06709075707,2
4864989.57311648,-7631.94262241864,2
4864984.6927886,-7625.78837456974,2
4864984.62777813,-7625.78837456974,2
4864985.63060486,-7625.21623874278,2
4864987.25765634,-7630.40240447747,2
4864987.15747664,-7629.94019349035,2
4864987.28558736,-7630.88617042875,2
4864987.22759998,-7630.49254103912,2
4864986.54289351,-7625.97319087789,2
4864988.4075301,-7631.75611852538,2
4864986.56340492,-7625.65699561471,2
4864986.37837341,-7625.69607391343,2
4864985.93484629,-7625.21475632081,2
4864979.16963336,-7618.47446920084,2
4864978.75905255,-7618.69797871634,2
4864978.55634097,-7618.6823020595,2
4864978.80394797,-7618.79803225347,2
4864978.9385988,-7619.35623364094,2
4864979.34190953,-7619.86098686628,2
4864978.58440947,-7620.55630579217,2
4864978.53951405,-7620.90528422554,2
4864977.91279718,-7618.859586071,2
4864977.89914371,-7619.35367671508,2
4864978.08339687,-7619.11037238178,2
4864978.27460168,-7620.2183913277,2
4864978.58895376,-7619.29542648912,2
4864978.95319985,-7618.57512846986,2
4864978.28549595,-7620.35824536235,2
4864978.22652947,-7619.55477976101,2
4864978.27142488,-7619.68815876104,2
4864979.70467909,-7620.03798550109,2
4864986.56359603,-7626.60800808853,2
4864983.97113197,-7625.90452521149,2
4864985.21789854,-7627.89244073284,2
4864992.27557717,-7633.37683904214,2
4864992.80878394,-7634.53638920997,2
4864992.79265004,-7633.36061482451,2
4864993.77613392,-7635.00361186615,2
4864993.45994187,-7634.52515983336,2
4864991.13926482,-7633.66961851419,2
4864991.15462581,-7633.64836031421,2
4864986.49364492,-7626.16579839061,2
4864986.25515548,-7626.5063402996,2
4864986.67861513,-7626.11242051886,2
4864986.95802053,-7628.38045844801,2
4864986.29231913,-7626.51843751486,2
4864984.79681901,-7626.53404446365,2
4864984.82798419,-7626.32837214576,2
4864984.79733623,-7627.95632533499,2
4864986.08530603,-7628.04465313433,2
4864986.62505089,-7628.32605595222,2
4864986.32037692,-7627.91805328136,2
4864986.77420657,-7628.46514957305,2
4864986.38497704,-7627.94709364152,2
4864986.03527941,-7627.69133835181,2
4864986.14083067,-7627.91216282367,2
4864986.44798951,-7628.2182536443,2
4864986.44798951,-7628.24041510197,2
4864986.18400864,-7627.71920189305,2
4864985.876305,-7629.04630196414,2
4864988.14612175,-7633.02569040531,2
4864988.34738652,-7633.42755235799,2
4864995.18993968,-7632.97094849902,3
4864995.1766413,-7633.86449378741,2
4864995.15555411,-7633.69108831498,2
4864995.09374385,-7633.67816352527,2
4864994.99800857,-7633.98804402085,2
4864995.25670224,-7634.17930876904,2
4864995.6686384,-7634.31518436661,2
4864995.3082876,-7634.30238970944,2
4864994.57089909,-7633.57138774639,2
4864995.42576616,-7634.36272868301,2
4864994.81587031,-7635.27474504166,2
4864991.77752216,-7633.76700829691,2
4864991.13735394,-7634.31354706942,2
4864991.25179495,-7634.20242436733,2
4864991.10074575,-7634.21285136733,2
4864991.64793255,-7634.11653476635,2
4864992.17878763,-7634.0198404475,2
4864991.85029738,-7633.2120430367,2
4864991.47367344,-7633.22861422651,2
4864991.47687508,-7633.30958893794,2
4864991.76039489,-7633.30969993796,2
4864991.61708371,-7633.30958893794,2
4864991.59575719,-7633.45134193796,2
4864994.04679867,-7634.17143367948,2
4864994.84485768,-7634.33150988337,2
4864993.38151008,-7633.53894816282,2
4864993.45427378,-7633.95237879563,2
4864985.75422139,-7621.00941521986,2
4864994.6206905,-7634.30694932429,2
4864987.32690892,-7626.70307297706,2
4864987.10175415,-7625.59896171579,2
4864987.47788256,-7626.95100490428,2
4864986.55987677,-7622.85896320507,2
4864986.58526163,-7622.15942541496,2
4864986.65603926,-7622.47749721502,2
4864986.63362502,-7622.35945973285,2
4864986.61855839,-7622.15378741497,2
4864986.97257484,-7624.30233428781,2
4864986.38111025,-7622.3518702752,2
4864987.65253098,-7627.04728600709,2
4865000.65276197,-7636.76449522289,2
4864999.80313596,-7636.44448583514,2
4864996.12532507,-7634.66410017566,2
4864994.48243385,-7635.12844080638,2
4864995.21887738,-7635.43081788637,2
4864994.67935343,-7635.48664098711,2
4864994.49493353,-7635.94181466895,2
4864994.49493353,-7635.92975931827,2
4864996.10252172,-7635.40153721589,2
4864996.32873495,-7635.66356694029,2
4864996.18747339,-7635.41718096589,2
4864996.21609839,-7635.59930876588,2
4864996.10739373,-7635.62808026854,2
4864996.72072393,-7636.24401715459,2
4864996.72072393,-7636.27092115727,2
4864996.81249469,-7636.36311454264,2
4864996.81249469,-7636.49631203995,2
4864996.90751259,-7636.34279717849,2
4864996.83057236,-7635.45829813835,2
4864998.54999695,-7635.9046377624,2
4865002.63587272,-7636.78966750171,2
4865001.18068964,-7636.24913427115,2
4865000.25801903,-7636.10713744395,2
4865000.03884103,-7636.07043660806,2
4865001.78571304,-7637.66812845358,2
4865001.72252704,-7637.64636335359,2
4865001.71454979,-7637.68586334112,2
4865002.23886431,-7637.67232071329,2
4865002.20778241,-7637.67664671325,2
4865003.51574771,-7638.18682891008,2
4865003.48086927,-7638.11539608631,2
4865003.08565111,-7637.15740138116,2
4865003.02811305,-7637.06654254773,2
4865002.37905946,-7636.74742226585,2
4865002.3380645,-7636.9463355249,2
4865001.37096133,-7636.85188564014,2
4865001.64612213,-7636.84541864008,2
4865001.78568494,-7636.80913579726,2
4865001.73362187,-7636.81278979724,2
4865001.84665083,-7636.79853459721,2
4865001.41724823,-7637.7214528176,3
4865000.26397249,-7636.15557487094,2
4865001.16105961,-7637.76332617596,3
4865000.70476891,-7636.22638531155,2
4865004.3745904,-7638.21930825493,2
4865001.15979117,-7637.68603081764,3
4865001.06112493,-7637.7214528176,3
4865001.30557106,-7637.86385249427,3
4865001.52710944,-7637.80514888013,3
4865001.52174367,-7637.88146149429,3
4865001.51815234,-7637.87350308013,3
4864997.16748069,-7636.64757296701,2
4864988.66275562,-7630.95343818231,2
4864992.20802691,-7633.10510231399,2
4864993.86965815,-7634.06686564641,2
4864993.77312245,-7634.79209083825,2
4864993.01348548,-7631.78274598772,2
4864993.02245548,-7631.77619151206,2
4864993.61086591,-7631.73132258032,2
4864993.00158738,-7633.23630160819,2
4864992.60347886,-7631.18036674103,2
4864997.0178971,-7637.22455552654,2
4864996.6485814,-7636.90246168417,2
4864996.68686674,-7636.88485268415,2
4864997.21483346,-7637.02011613614,2
4864998.20798266,-7636.26583026569,2
4864998.27587206,-7636.28672376577,2
4864997.95960175,-7636.31146618671,2
4864997.95445231,-7636.30695076574,2
4864995.34758222,-7634.94751678325,2
4864996.02580599,-7635.20025120034,2
4864996.68559842,-7635.95454033138,2
4864995.78572966,-7635.16483662458,2
4864996.08224669,-7635.09574653698,2
4864995.76465128,-7635.24130893524,2
4864996.78010364,-7636.02386046477,2
4864996.16568958,-7635.26521675314,2
4864996.42961944,-7635.48441577969,2
4864996.77404742,-7636.09593564405,2
4864998.19075597,-7637.28197069707,2
4864998.25141028,-7637.29069243359,2
4864997.50165341,-7637.32653319708,2
4864997.84194541,-7636.71635344349,2
4864997.13343219,-7636.73783200277,2
4864997.45805274,-7636.72868820792,2
4864997.66720807,-7636.86796853483,2
4864997.64963174,-7636.83914753485,2
4864997.70096409,-7636.83993173484,2
4864997.42000739,-7636.77164900005,2
4864997.52853988,-7636.86786738035,2
4864998.3568665,-7636.57613603568,2
4864998.34759714,-7636.61611370229,2
4865000.98520835,-7636.79610425857,2
4865004.18088101,-7637.68407610018,3
4865003.21411494,-7636.91300666501,2
4865003.23357318,-7638.16094779806,2
4865003.11167861,-7638.16534500169,2
4865003.30012118,-7637.85179035596,2
4865003.06308236,-7637.6424106116,2
4865002.24328708,-7635.46728830723,2
4865000.4918726,-7635.26197982145,2
4865000.54320374,-7635.25866782143,2
4865000.62457948,-7635.26943648812,2
4865000.85040241,-7635.2691044676,2
4865000.9405779,-7634.32396178277,2
4865000.30302053,-7635.2350609721,2
4865000.61849197,-7635.77913775042,2
4865000.17640843,-7635.72184703234,2
4865000.24864377,-7635.69543301034,2
4865000.24229188,-7635.64239526029,2
4864999.86239794,-7637.08497244993,3
4864999.82311614,-7637.08497244993,3
4864999.80572344,-7637.08497244993,3
4864998.68899789,-7635.59257195797,2
4864998.68899789,-7635.59257195797,2
4864999.89720274,-7636.78710778322,3
4864998.40424568,-7635.5231224855,2
4864998.40424568,-7635.49659028552,2
4864998.38436314,-7635.53253164382,2
4864998.17090349,-7635.52004202914,2
4864998.56367517,-7634.37423568874,2
4864998.63037237,-7634.11694026979,2
4864998.72924323,-7634.72937617587,2
4864998.64606789,-7634.76231017587,2
4864997.12497936,-7634.60633509224,2
4864993.48868783,-7632.9747251148,2
4864994.49754193,-7635.16349433563,2
4864994.43415632,-7634.45113558067,2
4864993.88607104,-7634.97368012191,2
4864994.18711924,-7634.67694106577,2
4864994.96966937,-7634.87678760081,2
4864996.34186832,-7635.68140846972,2
4864996.59128629,-7636.97394113548,2
4864997.04329106,-7637.07935338304,2
4864987.17035627,-7630.15254158823,2
4864996.69929501,-7636.52545486491,2
4864997.38009418,-7636.62873600843,2
4864997.4743132,-7636.61518263279,2
4864998.68141703,-7636.22296697404,2
4864998.6806856,-7636.75878931173,2
4864998.80207374,-7635.94793046113,2
4864990.66900758,-7632.7832995184,2
4864989.5811407,-7630.75338573029,2
4864989.52664038,-7630.6636835112,2
4864989.63798392,-7630.93260648615,2
4864989.76598334,-7631.40301622944,2
4864989.72108792,-7631.83440372947,2
4864989.72108792,-7631.40301622944,2
4864989.68287934,-7631.75585392972,2
4864990.82894432,-7634.17065018454,2
4864992.54468834,-7633.37351023362,2
4864992.35203247,-7633.86429835172,2
4864992.35203247,-7633.42258998149,2
4864990.54169561,-7633.8655714815,2
4864990.49043809,-7633.4245559815,2
4864990.14463193,-7633.94375662348,2
4864990.17933318,-7633.85937642963,2
4864990.76126793,-7633.91702467558,2
4864989.911205,-7632.02366620108,2
4864995.1496893,-7633.85995035575,2
4864995.51784006,-7633.21512433478,3
4864996.02275428,-7634.09683455595,3
4864995.40245505,-7633.85923206832,3
4864984.64428895,-7622.8431718926,2
4864984.53818178,-7622.86233591563,2
4864985.61224651,-7623.2256638631,3
4864985.83322027,-7623.4022143397,3
4864985.66445616,-7623.28319301732,3
4864985.75020933,-7623.28319301732,3
4864985.04686858,-7623.48394655486,3
4864983.34593362,-7621.07997084987,2
4864982.83743449,-7619.30574633419,2
4864983.09228826,-7617.71309878549,2
4864983.13475268,-7617.86245294701,2
4864981.67702419,-7615.53087978033,2
4864992.14398712,-7633.13520386004,2
4864992.60105443,-7633.30144184727,2
4864992.78782211,-7632.86568307796,2
4864992.08146146,-7631.92184715367,2
4864994.36999805,-7633.43398305082,2
4864991.25401716,-7632.76470579909,2
4864991.13072492,-7632.72106271568,2
4864993.61324183,-7634.77990742072,2
4864993.32410011,-7634.54402131946,2
4864993.90783951,-7634.65132545849,2
4864988.59696259,-7630.34962994436,2
4864988.78286356,-7630.64118726229,2
4864992.45562917,-7632.91006554694,2
4864988.393237,-7630.40355667394,2
4864986.96692321,-7626.15351603875,2
4864987.09654738,-7628.19825921006,2
4864988.11573348,-7630.74731236908,2
4864988.40525326,-7631.12535150381,2
4864989.28273766,-7631.83943432853,2
4864988.71511507,-7631.45622108487,2
4864989.84022999,-7631.9282960837,2
4864987.00615421,-7626.35064303881,2
4864989.64157774,-7631.99330024181,2
4864987.00016744,-7627.25610416871,2
4864989.64654843,-7631.79313318389,2
4864991.56595013,-7631.15954749565,2
4864995.88364955,-7631.49495110989,3
4864994.48126083,-7632.3834388253,2
4864995.55176251,-7632.38969497607,2
4864994.95872408,-7633.35143085585,2
4864993.10051681,-7633.42068143341,2
4864992.95504703,-7633.30191395602,2
4864988.78971618,-7630.18175940465,2
4864988.42079097,-7631.04334834543,2
4864989.64463024,-7630.86998755714,2
4864990.07637243,-7633.11333181293,3
4864990.52926067,-7633.4356854754,3
4864989.96384199,-7632.36513636956,3
4864988.74974071,-7631.66153832175,2
4864988.1507328,-7631.09515435281,2
4864988.66314489,-7630.93121008979,2
4864989.42114835,-7631.25933703889,2
4864989.08672029,-7631.03128272099,2
4864989.07665418,-7631.01402635027,2
4864983.85744448,-7621.45235315314,2
4864975.11254068,-7618.32701962968,2
4864978.82513298,-7617.10180364845,2
4864975.21968778,-7618.924003763,2
4864978.70881598,-7617.10180364845,2
4864978.82256347,-7616.39736251516,2
4864979.96476084,-7615.34193831487,2
4864979.76133968,-7617.63478956941,2
4864978.9094294,-7616.79361986236,2
4864979.83583516,-7617.14918649051,2
4864979.28614479,-7619.49653807393,2
4864976.56277401,-7622.06347442294,2
4864976.87542713,-7621.6682503563,2
4864973.97035391,-7624.80748717239,2
4864971.33511765,-7626.94828387936,2
4864964.9324408,-7628.3268369836,2
4864964.90179944,-7627.80691791343,2
4864971.76078054,-7627.75211948975,2
4864973.9300485,-7624.65773048123,2
4864964.87514515,-7628.03579189417,2
4864972.05044966,-7628.7222144785,2
4864971.72166367,-7628.51134313915,2
4864971.52324118,-7628.56654379153,2
4864972.2070631,-7628.56444594834,2
4864971.52324118,-7628.56654379153,2
4864971.75484723,-7628.55454232285,2
4864970.85408513,-7628.62817512502,2
4864970.81077393,-7628.65679759371,2
4864971.06287297,-7628.47040659486,2
4864965.41295667,-7627.67045618778,2
4864970.76466909,-7628.62817512502,2
4864975.96932001,-7626.60701345738,2
4864970.60357369,-7632.82122169576,2
4864970.29722914,-7632.07744268088,2
4864970.28075693,-7632.18639397445,2
4864969.21190901,-7632.30332102761,2
4864970.47406732,-7632.22580395733,2
4864970.83323046,-7630.46935508166,2
4864969.16790071,-7635.40626526588,2
4864969.27735848,-7636.05495887975,2
4864970.84505348,-7632.29454867397,2
4864969.37813848,-7635.51118900749,2
4864971.48742382,-7629.82759749671,2
4864971.17620256,-7629.96881567989,2
4864971.3104474,-7629.30465456345,2
4864971.2270528,-7629.12623815123,2
4864971.5047198,-7629.98490287635,2
4864978.06189234,-7625.91074780827,2
4864971.44786062,-7629.28173370036,2
4864971.21565779,-7629.40224741953,2
4864971.57473827,-7626.30796602957,2
4864975.02574418,-7627.05008791836,2
4864971.43231594,-7626.18453367037,2
4864971.54374894,-7626.21566067036,2
4864971.32726699,-7626.07092525364,2
4864971.37386225,-7626.1353093432,2
4864972.10288317,-7628.84629390426,2
4864971.96228617,-7629.02055381017,2
4864971.78708202,-7629.64222228018,2
4864972.1672019,-7629.96884996909,2
4864964.92667267,-7637.75342255735,2
4864972.63854967,-7629.27549857206,2
4864968.43062176,-7637.45216696333,2
4864960.56233278,-7636.42086288503,2
4864956.4977556,-7637.22793945069,2
4864956.4435256,-7637.39943854591,2
4864956.43899878,-7636.99684781254,2
4864956.43585758,-7637.36357378459,2
4864957.17734957,-7636.84433822341,2
4864956.14443286,-7637.64642351982,2
4864956.10561867,-7637.60367013504,2
4864959.82891738,-7635.86403209328,2
4864961.05058928,-7635.20673296607,2
4864960.82396707,-7635.15772223293,2
4864960.64758999,-7634.98169257796,2
4864960.64758999,-7634.98169257796,2
4864960.64758999,-7634.98169257796,2
4864960.67771899,-7635.16163862339,2
4864960.73363962,-7635.31517562343,2
4864961.30229327,-7635.33345062344,2
4864959.2843177,-7633.17705192769,2
4864958.73194324,-7633.24416447843,2
4864959.03594064,-7633.20324847842,2
4864959.92368058,-7633.2422357619,2
4864960.83047033,-7624.94955884843,2
4864960.83041046,-7625.49774403613,2
4864960.75260696,-7625.1457808528,2
4864960.44853772,-7625.12748085278,2
4864960.16562303,-7625.12748085278,2
4864960.41489172,-7625.12748085278,2
4864960.24708008,-7625.25132135284,2
4864952.66369451,-7632.54682963499,2
4864947.27406725,-7643.98082174887,2
4864946.91600902,-7644.98347475291,2
4864950.70884561,-7639.12971286291,2
4864954.62509456,-7638.20647664172,2
4864954.62509456,-7638.22236990477,2
4864954.58892686,-7638.39234311978,2
4864954.55740593,-7638.39234311978,2
4864954.58892686,-7638.49906878645,2
4864950.7881343,-7637.03420116946,4
4864950.78780182,-7638.02466175353,2
4864951.0346936,-7638.11928228816,2
4864949.69122779,-7639.48563104472,4
4864949.62172679,-7639.32182795584,4
4864949.43888243,-7639.29217926993,4
4864950.77443364,-7635.03353985613,4
4864950.78098226,-7635.40124779684,4
4864951.31830834,-7635.94128571683,4
4864949.64098079,-7639.49847260517,4
4864950.78098226,-7635.41844344471,4
4864950.74062126,-7635.39325759334,4
4864950.74062126,-7635.39325759334,4
4864950.74062126,-7635.46498909335,4
4864950.74062126,-7635.46498909335,4
4864954.2850498,-7631.42513046756,2
4864954.2850498,-7631.43312067106,2
4864954.5049658,-7631.42023493193,2
4864954.36562866,-7631.45097813366,2
4864954.56747978,-7630.77760457857,2
4864954.31014093,-7631.53543117762,2
4864953.91871674,-7629.19743620705,2
4864953.779591,-7629.36025399016,2
4864953.70972218,-7629.36740059053,2
4864954.04374782,-7629.06765199314,2
4864951.74002631,-7634.4790329186,2
4864951.81391865,-7634.4790329186,2
4864956.08048373,-7632.96685572172,2
4864961.4284169,-7632.1043334718,2
4864959.81128164,-7632.32380988559,2
4864959.89464056,-7632.26399015203,2
4864958.27233044,-7632.983186285,2
4864958.23304187,-7633.18402751404,2
4864958.27428787,-7633.2086207771,2
4864958.23304187,-7633.19296004358,2
4864958.23304187,-7633.2086207771,2
4864958.17111944,-7633.14913947192,2
4864958.24247879,-7633.19296004358,2
4864958.23304187,-7633.18402751404,2
4864958.27428787,-7633.07940478501,2
4864958.23304187,-7633.18402751404,2
4864951.15806945,-7634.63817717448,2
4864950.97637482,-7634.24992573036,2
4864950.98724681,-7634.28809640712,2
4864950.89134163,-7634.15137904615,2
4864950.60400179,-7634.18739184746,2
4864950.69608978,-7634.33663936881,2
4864950.69608978,-7634.23891400784,2
4864950.69608978,-7634.07558207311,2
4864951.13815512,-7634.62899117448,2
4864949.6386705,-7637.57119172129,4
4864950.97166972,-7634.33378490599,2
4864949.672834,-7637.40543663936,4
4864949.4732701,-7637.80695219113,4
4864949.6519497,-7637.81677263934,4
4864949.50255938,-7637.88355406208,4
4864949.50886647,-7637.90482530101,4
4864949.90386653,-7637.8156863689,2
4864949.6062782,-7637.58884345951,2
4864949.84274753,-7637.6040908121,2
4864948.71807963,-7644.91619325385,1
4864949.45791736,-7635.99375689326,4
4864949.91570696,-7635.95682793976,4
4864949.45791736,-7636.01017104975,4
4864949.91570696,-7635.95682793976,4
4864950.06961763,-7637.51157453995,1
4864950.03677383,-7638.6885037742,1
4864950.25830526,-7638.56802856615,1
4864950.49473726,-7638.56802856615,1
4864950.49473726,-7638.53604047918,1
4864951.29994152,-7636.86937807294,4
4864951.06794114,-7636.93086513673,4
4864949.84323615,-7639.11970160257,1
4864948.54322061,-7643.15840814224,4
4864948.54322061,-7642.94917186651,4
4864948.54322061,-7642.94886927316,4
4864948.49137561,-7643.07646503244,4
4864948.49137561,-7642.64299618885,4
4864948.49137561,-7642.61283662582,4
4864948.49137561,-7642.6426935955,4
4864949.12123844,-7642.56157134031,4
4864948.95552324,-7642.65965748622,4
4864948.06385001,-7642.56413163313,4
4864948.9298413,-7642.55350913695,4
4864948.81461448,-7642.619883606,4
4864948.81461448,-7642.57619531918,4
4864948.9298413,-7642.53707175769,4
4864948.9298413,-7642.56584274343,4
4864948.35973321,-7642.67369685367,4
4864948.81461448,-7642.55959253327,4
4864947.03035738,-7644.14260944769,2
4864955.92056322,-7639.94660788887,2
4864955.92056322,-7639.94660788887,2
4864955.43353729,-7640.6517373796,2
4864955.41965349,-7640.65682625157,2
4864968.42069865,-7640.84560622766,2
4864964.8264555,-7640.86322919018,2
4864965.03746709,-7640.9989261902,2
4864965.08470229,-7640.98731932307,2
4864965.08470229,-7640.98731932307,2
4864966.17147421,-7641.03789333374,2
4864964.69642777,-7640.43886402285,2
4864965.0027059,-7640.92019350409,2
4864965.0481319,-7640.93496134863,2
4864961.58587112,-7640.48202248147,2
4864957.79494623,-7638.40086942905,2
4864954.04478151,-7640.79104588665,2
4864953.95231534,-7640.81534537543,2
4864953.29636716,-7640.70179011687,2
4864953.35748616,-7640.81534537543,2
4864953.33984904,-7640.83123863848,2
4864945.23730548,-7647.67559009351,2
4864945.44562035,-7648.70762815457,2
4864945.20965119,-7648.91193368802,2
4864945.27940443,-7648.68319715456,2
4864945.17227933,-7648.74071740664,2
4864945.09797199,-7648.74842076744,2
4864945.08302909,-7646.11113960801,2
4864945.45562935,-7646.02521918791,2
4864945.51137035,-7646.07058788204,2
4864948.43522543,-7642.33263664494,2
4864945.55749714,-7646.31191083248,2
4864950.12136724,-7636.36508835518,2
4864950.28172811,-7635.51223580063,4
4864950.61881331,-7636.74225232013,4
4864950.97831224,-7636.76508252993,4
4864951.05606147,-7636.84348171838,4
4864951.91382391,-7636.95574021183,4
4864951.56515855,-7636.92510836283,4
4864951.65323032,-7636.91222262371,4
4864959.2071073,-7636.92910937635,2
4864959.2367479,-7636.89712128937,2
4864959.89911424,-7634.6938014065,2
4864960.26672456,-7631.56584756564,2
4864952.98534934,-7635.08426004199,2
4864953.4637145,-7635.74469037303,2
4864953.4747565,-7635.77940544586,2
4864959.17183224,-7633.62105961074,2
4864959.17778474,-7633.6456528738,2
4864959.17778474,-7633.6456528738,2
4864959.27657094,-7633.75645487381,2
4864957.53623093,-7633.74906838921,2
4864957.53623093,-7633.74906838921,2
4864957.53623093,-7633.74906838921,2
4864957.56550993,-7633.69922790129,2
4864957.55065883,-7633.677493174,2
4864957.55065883,-7633.677493174,2
4864957.53623093,-7633.74906838921,2
4864957.56550993,-7633.69922790129,2
4864957.53623093,-7633.74906838921,2
4864957.39236493,-7633.63496005343,2
4864949.37007367,-7642.61538893037,4
4864949.52647787,-7638.02834685355,4
4864949.05905921,-7644.29236396548,4
4864949.1254482,-7645.02993537683,2
4864949.12448469,-7645.02993537683,2
4864949.12625268,-7645.0115313768,2
4864949.15848168,-7645.03039240454,2
4864946.35689156,-7646.73269567831,2
4864946.35689156,-7646.73269567831,2
4864946.35689156,-7646.73269567831,2
4864946.35689156,-7645.13858209269,2
4864946.74488482,-7645.73173142789,1
4864943.61349534,-7648.38420448966,2
4864946.35689156,-7646.73269567831,2
4864946.35689156,-7645.13858209269,2
4864943.64870414,-7648.19313197783,2
4864943.61349534,-7648.38420448966,2
4864943.46997718,-7648.27962281205,2
4864947.32642711,-7642.10250992603,4
4864946.87154584,-7642.17874105244,4
4864947.31321061,-7642.51325752601,4
4864947.33928894,-7642.44362186551,4
4864956.26435125,-7636.12482159143,4
4864958.9510171,-7637.04639571655,4
4864959.0570625,-7636.75426655557,4
4864957.88321327,-7637.44709029399,4
4864957.38758543,-7638.11731129308,4
4864957.62401743,-7637.97869270961,4
4864957.38758543,-7638.11731129308,4
4864957.69537677,-7637.51316175912,4
4864959.60886936,-7632.27921987695,2
4864959.18518901,-7632.43153826092,2
4864959.19069827,-7632.43153826092,2
4864959.19069827,-7632.43153826092,2
4864959.75959811,-7632.42598332366,2
4864959.77281461,-7632.42598332366,2
4864959.75959811,-7632.42598332366,2
4864959.56515071,-7632.43153826092,2
4864949.92921638,-7635.59684137126,3
4864949.96888927,-7635.58780037126,3
4864949.96888927,-7635.58780037126,3
4864950.2550408,-7635.32534424254,3
4864950.29471369,-7635.31630324253,3
4864950.2352058,-7635.32534424254,3
4864949.78949198,-7635.56233519342,3
4864949.36661532,-7640.72920178591,4
4864949.95926227,-7635.58780037126,3
4864936.85426795,-7654.95283888702,2
4864944.71455356,-7651.52724889526,2
4864934.37333789,-7656.57856158378,2
4864934.69607248,-7655.87346734116,2
4864935.72507145,-7655.6156544252,2
4864934.83729802,-7655.7239343842,2
4864934.81294711,-7655.99590333415,2
4864935.17216838,-7657.3128294667,2
4864934.21033642,-7656.56571425867,2
4864933.50582985,-7656.96796558625,2
4864932.92511189,-7649.30740669327,2
4864933.34410487,-7648.85451591104,2
4864933.31285705,-7649.7413398073,2
4864933.76869327,-7655.63267706772,2
4864934.46054585,-7656.17052096178,2
4864934.43054213,-7656.4673330115,2
4864934.55779109,-7656.68697204845,2
4864933.53958611,-7655.79428281562,2
4864933.53301083,-7655.62544657285,2
4864933.13659409,-7646.43751323934,2
4864932.85636326,-7649.00187352829,2
4864940.14556294,-7656.97818681007,2
4864940.61176368,-7656.14382368541,2
4864940.82687899,-7653.91824264922,2
4864940.98463985,-7652.8414934792,2
4864940.93497404,-7653.69236309144,2
4864941.24689878,-7653.20652291701,2
4864941.24689878,-7652.16656427833,2
4864941.67024941,-7651.01977061809,2
4864941.58609028,-7651.63697864463,2
4864941.96676448,-7650.75370188551,2
4864946.16985789,-7648.14449802782,2
4864946.51229071,-7647.79891237344,2
4864946.37273965,-7647.76647168074,2
